18:9:54,null,TEST START TIMESTAMP
18:9:57,REGISTER,3819
18:10:1,LOGIN,3243
18:10:2,REGISTER,1017
18:10:3,LOGIN,982
18:10:3,SEARCH_LABELS,2324
18:10:4,SEARCH_STORIES,1279
18:10:4,SEARCH_STORIES,82
18:10:5,REGISTER,995
18:10:5,SEARCH_LABELS,2292
18:10:5,SEARCH_STORIES,78
18:10:5,SEARCH_STORIES,84
18:10:6,LOGIN,987
18:10:6,SEARCH_LABELS,67
18:10:6,SEARCH_STORIES,66
18:10:6,SEARCH_STORIES,82
18:10:7,EXPORT_STORY,1547
18:10:7,EXPORT_STORY,2796
18:10:8,EXPORT_STORY,1806
18:10:9,CREATE_STORY,2349
18:10:9,CREATE_STORY,2254
18:10:10,CREATE_STORY,2318
18:10:10,UPDATE_STORY,1331
18:10:11,UPDATE_STORY,1261
18:10:12,UPDATE_STORY,2319
18:10:12,REGISTER,3235
18:10:13,DELETE_STORY,2325
18:10:14,DELETE_STORY,2332
18:10:14,LOGIN,2161
18:10:14,DELETE_STORY,2314
18:10:15,SEARCH_LABELS,2289
18:10:15,SEARCH_LABELS,1281
18:10:15,SEARCH_LABELS,1354
18:10:16,SEARCH_LABELS,62
18:10:16,SEARCH_STORIES,1302
18:10:16,REGISTER,2347
18:10:16,SEARCH_STORIES,90
18:10:18,SEARCH_STORIES,2397
18:10:18,SEARCH_STORIES,2304
18:10:18,SEARCH_STORIES,119
18:10:18,SEARCH_STORIES,156
18:10:18,SEARCH_STORIES,2409
18:10:18,SEARCH_STORIES,84
18:10:19,EXPORT_STORY,2647
18:10:19,EXPORT_STORY,1675
18:10:20,LOGIN,3294
18:10:21,EXPORT_STORY,2684
18:10:21,EXPORT_STORY,2669
18:10:22,SEARCH_LABELS,2314
18:10:22,CREATE_STORY,1311
18:10:22,CREATE_STORY,3369
18:10:23,CREATE_STORY,3351
18:10:23,REGISTER,3323
18:10:23,UPDATE_STORY,1261
18:10:24,CREATE_STORY,3301
18:10:24,UPDATE_STORY,566
18:10:25,LOGIN,2177
18:10:25,REGISTER,32
18:10:25,LOGIN,25
18:10:25,SEARCH_LABELS,16
18:10:25,SEARCH_STORIES,3366
18:10:25,SEARCH_STORIES,15
18:10:26,DELETE_STORY,2304
18:10:26,SEARCH_LABELS,11
18:10:26,UPDATE_STORY,3313
18:10:26,DELETE_STORY,12
18:10:26,SEARCH_LABELS,10
18:10:26,SEARCH_LABELS,1304
18:10:26,SEARCH_STORIES,10
18:10:26,SEARCH_STORIES,8
18:10:27,UPDATE_STORY,4314
18:10:27,DELETE_STORY,20
18:10:27,SEARCH_LABELS,9
18:10:28,DELETE_STORY,3296
18:10:28,SEARCH_LABELS,13
18:10:29,REGISTER,11
18:10:29,LOGIN,9
18:10:29,SEARCH_LABELS,9
18:10:34,REGISTER,9
18:10:34,LOGIN,9
18:10:34,SEARCH_LABELS,9
